camera_id,store_id,shelf_id,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h
1,1,1,person,0.92,100,50,80,150
1,1,2,person,0.88,250,60,75,145
2,1,3,item,0.95,150,80,50,60
2,1,4,basket,0.87,300,100,60,70
3,1,5,person,0.91,200,40,85,160
3,1,6,trolley,0.89,350,120,100,100
4,1,7,person,0.93,120,70,80,155
4,1,8,item,0.86,280,90,45,55
5,1,9,person,0.90,180,50,85,150
5,1,10,basket,0.88,320,110,55,65
6,2,1,person,0.94,140,60,80,150
6,2,2,item,0.91,260,80,50,60
7,2,3,person,0.89,110,40,85,160
7,2,4,trolley,0.92,330,100,95,105
8,2,5,person,0.87,230,70,75,145
8,2,6,basket,0.90,290,120,60,70
9,3,1,person,0.93,150,50,80,155
9,3,2,item,0.88,240,85,50,60
10,3,3,person,0.91,190,60,85,150
10,3,4,person,0.89,310,80,75,160
